Date,Open,High,Low,Close,Adj Close,Volume
2015-09-01,138.537292,138.604202,135.611862,136.405350,97.411179,5514512
2015-09-02,138.374756,138.699814,136.883362,138.671127,99.029251,4447592
2015-09-03,139.627151,141.520081,139.359467,140.325043,100.210335,3769261
2015-09-04,138.212234,139.005737,137.017212,137.380493,98.107536,4394351
2015-09-08,139.445511,140.860428,139.254303,140.755264,100.517563,4114232
2015-09-09,142.198853,142.485657,138.479919,138.671127,99.029251,3564559
2015-09-10,139.435944,140.688339,138.154877,139.770554,99.814384,3620938
2015-09-11,139.493301,141.013382,139.263855,140.889099,100.613167,3258395
2015-09-14,140.889099,140.889099,139.015289,139.244736,99.438873,3375128
2015-09-15,140.152969,141.424469,139.349899,141.042068,100.722374,2842087
2015-09-16,141.338425,142.342255,141.051620,141.883362,101.323204,2927963
2015-09-17,141.587006,143.097519,140.822174,141.625244,101.138870,4187138
2015-09-18,139.627151,139.952194,137.648178,138.154877,98.660561,8342687
2015-09-21,138.996170,140.516251,138.546844,140.038239,100.005547,4000950
2015-09-22,138.260040,138.680695,137.447418,138.078400,98.605957,3728049
2015-09-23,137.868073,138.212234,136.472275,137.342255,98.080238,2797213
2015-09-24,136.328873,138.690247,135.707458,138.059280,98.592308,3431194
2015-09-25,139.149139,139.837479,138.173996,139.024857,99.281830,3634222
2015-09-28,138.068832,138.986618,136.204590,136.252396,97.301941,4515896
2015-09-29,135.745697,136.386230,134.942642,136.204590,97.267807,4982621
2015-09-30,137.370941,139.302109,137.342255,138.594650,98.974609,4127725
2015-10-01,138.919693,139.263855,135.363297,137.275330,98.032463,4059421
2015-10-02,134.847031,138.231354,134.378586,138.221802,98.708374,3194902
2015-10-05,139.407272,143.298279,139.407272,142.485657,101.753296,5367863
2015-10-06,142.504776,143.546844,141.959854,142.237091,101.575790,3156933
2015-10-07,143.441681,144.101334,142.313583,143.489487,102.470184,3117917
2015-10-08,143.107071,146.290634,142.724670,145.583176,103.965347,5014942
2015-10-09,145.755264,146.414917,144.617584,145.688339,104.040436,3693531
2015-10-12,145.697891,145.869980,144.216064,144.493301,103.187012,3376070
2015-10-13,144.149139,144.149139,142.619507,143.040146,102.149292,4095822
2015-10-14,143.021027,144.024857,142.466537,143.412994,102.415550,3507238
2015-10-15,144.273422,144.588913,142.045883,143.489487,102.470184,3636105
2015-10-16,143.833649,144.550674,142.695984,143.776291,102.674965,3643950
2015-10-19,143.260040,143.374756,141.854691,142.657745,101.876183,8320616
2015-10-20,136.223709,136.596558,134.101334,134.455063,96.018425,16762778
2015-10-21,134.082214,136.386230,133.173996,134.722748,96.209572,7312168
2015-10-22,135.506699,138.690247,135.391968,137.753342,98.373810,5840027
2015-10-23,138.250473,139.091782,137.380493,138.317398,98.776619,5617438
2015-10-26,138.384323,138.623322,136.912048,137.342255,98.080238,3649912
2015-10-27,137.198853,137.504776,131.290634,131.797318,94.120422,15698891
2015-10-28,131.854691,135.019119,131.453156,134.636703,96.148117,8902924
2015-10-29,134.187378,134.627151,132.906311,134.369019,95.956985,3881078
2015-10-30,134.263855,135.114716,133.747604,133.919693,95.636108,4167264
2015-11-02,134.321228,134.340347,133.432129,134.196945,95.834084,3998021
2015-11-03,133.862335,136.520081,133.747604,135.640533,96.864990,4549472
2015-11-04,136.281067,136.376678,135.086044,135.401535,96.694344,3678677
